#seqid	description	orientation	amoa log odds	pmoa log odds	bg log odds	label
ESAJ0006	 noise	+	-1220.3806	 -812.1170	 -666.6394	bg
ESAV0078	 noise	+	-1318.5613	 -901.3953	 -737.7623	bg
ESAJ0001	 noise	+	 -357.0433	 -233.3392	 -176.8304	bg
KDAJ0002	 noise	-	-1274.7740	 -841.9236	 -734.3433	bg
KDAJ0003	 noise	-	-1508.8447	-1019.7511	 -818.7127	bg
KDAJ0005	 noise	-	-1499.4056	-1014.8019	 -815.4155	bg
ECAT0003	 noise	+	-1490.9162	 -984.9288	 -737.2449	bg
KDAJ0007	 noise	+	-1333.8819	-1006.1377	 -801.9102	bg
RPAX0074	 noise	+	-1309.4758	 -971.1020	 -770.3607	bg
EPAW0045	 noise	+	-1422.0041	 -973.0231	 -788.5051	bg
EPAW0043	 noise	-	-1419.6678	 -960.1409	 -800.8678	bg
EPAW0042	 noise	-	-1388.1147	 -894.9766	 -765.2502	bg
ECAM0048	 noise	-	-1368.0851	 -971.8958	 -809.7311	bg
ECAM0049	 noise	+	 -909.3081	 -580.9353	 -502.9729	bg
ECAM0046	 noise	-	-1313.6685	 -839.7030	 -664.6232	bg
ECAM0047	 noise	-	-1327.8976	 -856.3085	 -665.9457	bg
ECAM0045	 noise	-	-1308.6486	 -866.5950	 -666.1320	bg
ECAM0043	 noise	-	-1271.2060	 -888.8205	 -746.8401	bg
ECAM0040	 noise	-	-1303.0060	 -862.7624	 -662.6356	bg
ECAM0041	 noise	+	-1550.4651	 -944.4928	 -787.3948	bg
EPAU0059	 noise	-	-1420.0603	 -890.4650	 -764.9560	bg
ISBA34	 noise	-	-1481.8598	 -989.1329	 -843.1954	bg
ECAM0064	 noise	+	-1278.4483	 -839.3102	 -654.5936	bg
ISBA36	 noise	-	-1459.8319	-1067.3137	 -839.1967	bg
ISBA30	 noise	-	-1415.1395	-1003.4346	 -812.5708	bg
ISBA31	 noise	-	-1371.7104	 -971.4455	 -779.7232	bg
K1AB0015	 noise	+	-1525.7274	-1030.2300	 -815.9111	bg
KDAJ0079	 noise	-	-1331.8498	 -814.0518	 -731.9083	bg
ECAT0040	 noise	+	-1554.5617	-1130.1986	 -947.3914	bg
KDAJ0076	 noise	-	-1312.1353	 -853.8870	 -717.5259	bg
KDAJ0071	 noise	-	-1500.5955	 -987.1967	 -798.3690	bg
EPAU0012	 noise	-	-1408.5460	 -940.9186	 -780.9827	bg
KDAJ0072	 noise	-	-1492.9053	-1087.0244	 -836.0038	bg
ISAZ55	 noise	-	-1237.6603	 -853.4877	 -730.6030	bg
EPAL0050	 noise	+	-1200.6708	 -858.4871	 -667.3362	bg
ECAR0017	 noise	+	-1448.3713	 -981.3389	 -787.5230	bg
EPAJ0068	 noise	-	 -825.4037	 -512.2735	 -432.3043	bg
EPAJ0069	 noise	+	 -287.3650	 -188.0634	 -160.5189	bg
RPAX0044	 noise	-	-1502.8604	 -972.3747	 -810.1252	bg
EPAJ0065	 noise	+	 -438.3672	 -312.0405	 -249.2726	bg
EPAJ0066	 noise	-	 -163.5508	 -114.8823	 -109.9892	bg
EPAJ0067	 noise	-	 -120.9830	  -96.8276	  -95.1846	bg
K1AB0003	 noise	+	-1564.1710	-1020.7653	 -828.9953	bg
ECAR0063	 noise	-	 -354.0717	 -255.5648	 -214.5887	bg
ECAR0062	 noise	+	-1265.6167	 -829.6732	 -717.6521	bg
ESAJ0025	 noise	+	-1320.0867	 -888.2126	 -688.2373	bg
ECAR0060	 noise	+	-1554.8626	-1060.1505	 -840.7390	bg
ECAR0067	 noise	+	-1599.6400	-1062.7931	 -892.7913	bg
ECAR0066	 noise	-	-1188.7213	 -821.2278	 -719.6288	bg
ECAR0065	 noise	+	-1335.9335	 -945.0443	 -770.2488	bg
ECAR0064	 noise	-	-1460.7040	-1029.0373	 -850.2434	bg
RPAX0041	 noise	-	-1455.7330	 -938.0893	 -786.7662	bg
KSAG0041	 noise	+	-1553.6501	 -987.7548	 -772.0248	bg
ESAJ0029	 noise	-	-2031.7693	-1442.2208	-1131.5995	bg
ESAJ0028	 noise	-	-1324.9010	 -840.3831	 -665.9385	bg
ESAH0094	 noise	-	-1266.2369	 -839.6620	 -671.0273	bg
ESAH0095	 noise	-	 -739.1173	 -536.4575	 -472.9888	bg
ESAH0096	 noise	-	 -747.1756	 -548.8004	 -483.5760	bg
ESAH0090	 noise	-	-1360.6196	 -959.7669	 -775.7246	bg
ECAT0006	 noise	-	-1468.5782	 -946.3043	 -783.6525	bg
ESAH0092	 noise	-	-1489.5738	 -968.0110	 -777.8140	bg
ECAT0004	 noise	-	-1505.0632	 -955.5193	 -786.2594	bg
ECAT0009	 noise	+	-1421.2217	 -963.9417	 -814.5032	bg
RPAX0042	 noise	+	-1490.7774	 -976.4781	 -811.4241	bg
KDAJ0046	 noise	+	-1444.8843	 -939.6086	 -770.9607	bg
K1AA0016	 noise	-	-1409.5581	 -883.5244	 -693.6376	bg
K1AD0026	 noise	-	-1341.6275	 -865.3717	 -683.2688	bg
K7AH0040	 noise	-	-1436.3956	 -947.6043	 -828.2744	bg
ESAI0054	 noise	-	-1418.0669	-1000.2666	 -814.1124	bg
ESAH0069	 noise	-	 -702.6405	 -477.7999	 -406.2948	bg
ECAK0052	 noise	-	-1054.9412	 -688.6985	 -604.6675	bg
ISAZ90	 noise	+	-1492.7881	 -987.6873	 -837.2788	bg
ESAH0060	 noise	+	 -697.2652	 -517.9531	 -422.9315	bg
K1AB0005	 noise	+	-1223.3846	 -789.5181	 -618.4879	bg
ISAZ93	 noise	-	-1380.8293	 -842.2947	 -721.1293	bg
ESAH0065	 noise	+	-1279.2542	 -919.7346	 -780.2902	bg
ISAZ95	 noise	-	-1399.4129	 -924.2642	 -799.9039	bg
ISAZ96	 noise	-	-1278.7324	 -807.5740	 -687.6068	bg
ESAH0066	 noise	-	 -741.5028	 -530.4963	 -473.5571	bg
KDAE0014	 noise	-	-1439.7700	 -979.0416	 -814.2130	bg
KDAE0015	 noise	-	-1036.3391	 -731.3033	 -605.8213	bg
ESAV0065	 noise	-	-1256.9360	 -834.5265	 -677.0896	bg
ESAV0064	 noise	-	-1213.6978	 -840.9866	 -687.7592	bg
KDAE0010	 noise	-	 -512.0169	 -339.1280	 -292.7881	bg
ESAV0062	 noise	-	-1227.2665	 -874.2858	 -712.0816	bg
ESAV0061	 noise	+	-1572.2016	-1015.5912	 -848.9300	bg
ESAV0060	 noise	-	-1291.1186	 -859.4526	 -696.5618	bg
EPAO0083	 noise	-	 -113.6654	  -76.3623	  -63.6961	bg
EPAO0082	 noise	+	-1261.7484	 -862.7752	 -729.2023	bg
EPAO0087	 noise	-	-2004.0301	-1291.7703	-1080.3565	bg
KDAE0019	 noise	+	 -933.0575	 -670.0935	 -583.2412	bg
ESAV0068	 noise	-	-1289.4042	 -793.6490	 -650.4233	bg
ECAM0039	 noise	-	-1199.7949	 -869.7071	 -673.4741	bg
KDAJ0048	 noise	-	 -243.1079	 -159.9862	 -133.2850	bg
ECAR0039	 noise	-	-1325.5526	 -959.3449	 -802.9877	bg
EPAH0016	 noise	-	 -202.3855	 -152.4346	 -138.8227	bg
EPAH0012	 noise	-	-1045.7180	 -720.3213	 -548.9844	bg
EPAH0011	 noise	-	-1397.9924	 -878.6523	 -725.4511	bg
EPAH0010	 noise	-	-1362.1903	 -904.3112	 -764.9236	bg
K1AH0020	 noise	-	-1494.7233	-1008.8097	 -817.9910	bg
EPAU0003	 noise	-	-1395.9028	 -910.5155	 -755.2786	bg
EPAU0002	 noise	-	-1307.5992	 -935.0036	 -753.0740	bg
EPAU0005	 noise	+	-1599.1838	 -958.4180	 -803.1510	bg
K1AH0024	 noise	-	-1559.3606	-1067.1318	 -816.7972	bg
EPAU0007	 noise	-	-1158.6695	 -733.5156	 -610.3426	bg
EPAU0006	 noise	-	-1244.2573	 -849.0294	 -731.2394	bg
RPAX0023	 noise	-	-1457.5213	 -937.9369	 -783.7583	bg
RPAX0022	 noise	+	-1340.2735	 -962.3953	 -786.2722	bg
RPAX0021	 noise	-	-1393.0313	 -917.8701	 -769.2581	bg
RPAX0020	 noise	+	-1531.8254	-1008.9823	 -790.7532	bg
RPAX0026	 noise	+	-1480.2052	 -973.5766	 -812.1545	bg
RPAX0024	 noise	-	-1456.7905	 -940.2920	 -784.0035	bg
RPAX0029	 noise	-	-1476.4386	 -937.6505	 -783.7530	bg
RPAX0028	 noise	-	-1429.6635	 -937.6528	 -784.4762	bg
ESAV0026	 noise	-	-1476.2618	 -988.6974	 -824.2209	bg
ESAV0025	 noise	-	-1266.2391	 -820.5132	 -683.1099	bg
KSAG0038	 noise	+	-1492.3466	 -947.7496	 -775.5071	bg
KSAG0042	 noise	+	-1384.2483	 -914.2749	 -753.0288	bg
KSAG0040	 noise	+	-1374.6168	 -910.0630	 -752.5218	bg
ESAH0061	 noise	-	 -895.6811	 -544.9907	 -429.5612	bg
K1AD0025	 noise	-	-1216.2512	 -839.0143	 -722.0882	bg
ECAM0008	 noise	-	-1339.2152	 -852.5160	 -663.7108	bg
ECAM0009	 noise	+	-1563.3462	 -940.9429	 -787.1805	bg
KDAJ0040	 noise	-	-1342.5838	 -998.9407	 -814.2186	bg
KDAJ0041	 noise	-	-1452.2905	 -948.9070	 -815.7889	bg
KDAJ0042	 noise	+	-1453.6133	 -946.4206	 -782.5724	bg
ECAM0002	 noise	-	-1651.3146	-1035.3645	 -871.8690	bg
ECAM0003	 noise	-	-1258.6481	 -882.6222	 -739.9248	bg
ECAM0001	 noise	+	-1559.7301	 -950.8235	 -792.3889	bg
ECAM0006	 noise	-	-1214.2857	 -847.7772	 -672.6287	bg
ECAM0007	 noise	-	-1321.5813	 -859.0793	 -675.6226	bg
ECAM0005	 noise	-	-1186.4912	 -870.3764	 -675.1222	bg
ESAS0038	 noise	+	-1533.2672	-1050.7121	 -861.1035	bg
ESAS0035	 noise	-	 -127.7273	 -108.4153	  -85.6242	bg
ESAS0034	 noise	+	-1400.1769	 -992.4221	 -825.7993	bg
ESAS0037	 noise	-	-1440.4447	 -966.7435	 -830.6778	bg
ESAH0005	 noise	-	-1320.7359	 -848.6055	 -719.7881	bg
ESAV0074	 noise	+	-1285.4763	 -821.2780	 -689.0769	bg
ESAH0077	 noise	-	 -621.4330	 -431.9388	 -381.9994	bg
ESAV0076	 noise	-	-1239.4573	 -787.6677	 -665.0315	bg
ESAH0075	 noise	+	 -632.0657	 -453.9378	 -361.2668	bg
K1AH0032	 noise	-	-1440.0946	-1045.3285	 -843.5724	bg
ESAV0070	 noise	-	-1210.6931	 -888.9816	 -731.0302	bg
RPAX0095	 noise	+	-1389.9332	 -915.4817	 -770.1242	bg
RPAX0090	 noise	+	-1402.2013	 -960.6632	 -799.9787	bg
ESAH0073	 noise	-	-1339.3285	 -949.6715	 -773.1546	bg
ESAH0070	 noise	-	 -449.4752	 -324.6437	 -282.8888	bg
ISBA91	 noise	-	-1489.1255	 -908.7358	 -743.4023	bg
ISBA94	 noise	-	-1402.5199	 -906.1251	 -799.4608	bg
ESAV0009	 noise	+	-1465.5892	-1031.5418	 -829.0903	bg
EPAO0090	 noise	-	-2061.0278	-1305.2827	-1094.4123	bg
EPAW0038	 noise	-	-1408.7551	 -934.8966	 -790.2350	bg
EPAW0036	 noise	+	-1345.9004	 -923.6562	 -796.8932	bg
EPAO0055	 noise	-	-1044.1973	 -741.7136	 -645.9254	bg
EPAW0034	 noise	+	-1565.4152	-1000.8312	 -830.8824	bg
EPAW0035	 noise	-	-1473.5075	 -934.0319	 -751.8827	bg
EPAW0032	 noise	-	-1474.6315	-1011.3111	 -819.2289	bg
EPAW0033	 noise	+	-1412.3621	 -913.9339	 -706.2082	bg
EPAW0031	 noise	-	-1384.5656	 -908.8217	 -775.4379	bg
ISBA63	 noise	-	-1503.6313	-1030.8417	 -806.6896	bg
ECAR0029	 noise	-	-1322.7141	 -807.7758	 -659.4450	bg
ECAR0028	 noise	+	-1092.6595	 -721.6607	 -596.1783	bg
ECAR0027	 noise	+	-1532.1942	-1039.1771	 -822.7345	bg
ESAS0041	 noise	+	-1395.8623	 -930.1719	 -785.2801	bg
ESAS0042	 noise	-	-1687.2224	-1024.7377	 -769.7600	bg
ESAS0044	 noise	-	-1212.8529	 -817.2629	 -678.4121	bg
ESAS0045	 noise	+	-1414.7006	 -942.7177	 -786.7341	bg
ESAS0046	 noise	-	-1695.3205	-1082.0771	 -878.9574	bg
ESAV0079	 noise	-	-1177.7275	 -739.0668	 -653.2393	bg
KDAE0032	 noise	-	-1325.1879	 -994.7666	 -815.6058	bg
KDAE0033	 noise	-	-1673.3502	-1126.1831	 -973.2016	bg
ESAH0079	 noise	-	 -197.6350	 -143.9366	 -126.1655	bg
KDAE0030	 noise	-	-1569.1593	-1023.0108	 -859.2188	bg
KDAE0031	 noise	-	-1151.1097	 -791.8615	 -656.1893	bg
KDAE0036	 noise	-	-1412.9766	-1000.7645	 -807.5286	bg
ESAH0002	 noise	+	-1975.6887	-1302.7823	-1068.6052	bg
EPAL0025	 noise	-	-1447.0592	 -931.2800	 -823.3520	bg
KDAE0034	 noise	-	-1188.6981	 -796.5573	 -646.8313	bg
EPAU0015	 noise	-	-1395.5972	 -911.5540	 -791.1408	bg
KDAE0035	 noise	-	-1508.6723	 -952.7779	 -784.8799	bg
EPAL0029	 noise	+	-1216.6239	 -839.0139	 -718.0928	bg
ESAH0025	 noise	-	-1050.4514	 -740.7943	 -606.1179	bg
ESAH0026	 noise	-	-1050.4514	 -740.7943	 -606.1179	bg
ESAH0021	 noise	+	 -969.7980	 -669.7384	 -557.6367	bg
ESAH0020	 noise	+	-1178.1124	 -746.6236	 -639.4564	bg
ESAH0028	 noise	+	 -874.3879	 -580.5202	 -498.9771	bg
ESAH0067	 noise	+	 -622.7626	 -488.3559	 -402.1505	bg
RCAY0024	 noise	-	-1466.3619	 -945.4706	 -790.0470	bg
ESAJ0058	 noise	-	 -265.5790	 -161.0966	 -129.5129	bg
ESAJ0059	 noise	+	-2248.3491	-1471.1938	-1215.8397	bg
ECAR0092	 noise	-	-1317.8561	 -935.5842	 -789.4108	bg
ECAR0093	 noise	+	 -472.9672	 -355.4111	 -306.6623	bg
ESAJ0054	 noise	+	 -976.3473	 -668.5379	 -532.1581	bg
ECAR0091	 noise	-	-1259.0733	 -904.5207	 -708.8274	bg
ESAJ0052	 noise	-	 -203.4694	 -137.0973	 -124.6061	bg
ESAJ0053	 noise	+	 -281.3844	 -200.8899	 -170.6356	bg
ESAJ0050	 noise	-	-1209.7663	 -863.6798	 -700.6964	bg
ESAJ0051	 noise	-	 -238.9793	 -150.8339	 -122.9960	bg
EPAU0045	 noise	+	-1223.7374	 -837.4125	 -718.0850	bg
EPAU0047	 noise	-	-1419.9960	-1012.7744	 -817.1129	bg
EPAU0041	 noise	-	-1429.2848	 -962.4308	 -804.8810	bg
EPAU0040	 noise	-	-1509.8982	 -964.2495	 -803.7995	bg
EPAU0043	 noise	-	-1284.0799	 -824.7993	 -691.5171	bg
KDAC0019	 noise	+	-1555.3190	 -951.5323	 -810.0778	bg
ECAT0046	 noise	-	-1497.1889	-1030.5084	 -828.6028	bg
RPAX0065	 noise	-	 -540.6977	 -349.6330	 -299.4184	bg
ECAT0024	 noise	+	-1409.6945	-1001.2148	 -844.9335	bg
EPAU0049	 noise	+	-1592.4546	-1058.3016	 -843.9124	bg
RPAX0062	 noise	+	-1493.5736	 -974.4986	 -757.6529	bg
RPAX0061	 noise	-	-1401.5630	 -943.5515	 -781.2429	bg
RPAX0060	 noise	-	-1507.6817	-1003.2126	 -835.2654	bg
ISAZ42	 noise	-	-1308.3732	 -822.9519	 -722.2952	bg
ISAZ40	 noise	+	-1294.7439	 -970.6257	 -769.8530	bg
ISAZ47	 noise	-	-1445.7556	 -945.0824	 -828.2076	bg
ISAZ46	 noise	+	-1387.7534	-1000.4403	 -788.2585	bg
ISAZ45	 noise	-	-1414.3258	 -964.7797	 -768.6207	bg
ISAZ44	 noise	-	-1572.2473	-1007.3084	 -838.8696	bg
ISAZ49	 noise	-	-1557.6498	-1040.8703	 -851.2770	bg
KSAG0005	 noise	-	-1473.8749	 -992.8050	 -830.7913	bg
ESAH0050	 noise	+	 -671.3996	 -474.6191	 -367.2500	bg
KDAE0049	 noise	+	-1389.5274	 -956.3895	 -767.8870	bg
KDAE0048	 noise	-	-1400.9082	 -977.7540	 -777.4328	bg
ESAH0054	 noise	-	 -103.1557	  -84.4199	  -73.4781	bg
ESAH0055	 noise	+	 -155.4006	 -124.3591	 -106.7227	bg
ESAV0018	 noise	-	-1373.3207	 -992.1085	 -870.0572	bg
ECAT0048	 noise	-	-1698.4754	-1027.9221	 -861.4531	bg
KDAE0043	 noise	-	-1061.6665	 -763.6486	 -611.7237	bg
ESAH0059	 noise	+	 -978.9583	 -555.6196	 -447.7465	bg
KDAE0041	 noise	-	-1443.2322	 -995.9824	 -820.7894	bg
KDAE0040	 noise	-	-1523.3460	 -952.1360	 -830.3452	bg
KDAE0047	 noise	-	-1528.1194	 -983.0533	 -804.6824	bg
KDAE0046	 noise	+	-1191.9646	 -723.8568	 -625.5080	bg
ECAK0068	 noise	-	-1238.8629	 -926.8985	 -737.6792	bg
KDAE0044	 noise	-	 -961.7525	 -640.5898	 -554.9025	bg
EPAS0074	 noise	-	-1179.2736	 -836.4048	 -640.7877	bg
EPAS0075	 noise	-	-1281.4663	 -842.0077	 -681.1407	bg
EPAS0072	 noise	-	-1271.4464	 -796.2941	 -684.1312	bg
EPAS0073	 noise	-	-1398.6339	 -932.8236	 -737.0783	bg
EPAS0070	 noise	-	-1307.6283	 -841.4922	 -680.5227	bg
EPAS0071	 noise	-	-1489.7873	 -966.0166	 -792.0455	bg
EPAS0078	 noise	-	-1338.5671	 -875.8405	 -705.7613	bg
EPAS0079	 noise	-	-1403.3128	 -928.4186	 -758.9931	bg
KDAA0010	 noise	+	-1525.0215	 -996.4252	 -806.0250	bg
EPAU0011	 noise	-	-1387.0340	 -911.9536	 -735.7621	bg
KDAA0012	 noise	-	-1156.3401	 -825.6749	 -678.6181	bg
RCAY0008	 noise	-	-1465.0427	-1002.9136	 -862.0555	bg
EPAH0068	 noise	+	-1059.5114	 -740.1529	 -606.4148	bg
EPAH0069	 noise	+	-1059.5114	 -740.1529	 -606.4148	bg
RCAY0007	 noise	-	-1460.8375	 -942.0866	 -786.7726	bg
K1AH0010	 noise	+	-1518.1085	-1028.9208	 -818.2553	bg
EPAU0031	 noise	+	-1535.4912	-1018.4230	 -815.1077	bg
EPAU0032	 noise	+	-1480.5856	-1043.3258	 -831.1535	bg
K1AH0013	 noise	-	-1279.1757	 -854.4360	 -727.7433	bg
EPAU0034	 noise	-	-1392.7850	 -868.9424	 -707.5980	bg
K1AH0015	 noise	+	-1655.6858	-1045.8006	 -872.1634	bg
K1AH0016	 noise	-	-1497.9342	 -925.5873	 -792.9861	bg
K1AH0017	 noise	-	-1313.3334	 -896.5177	 -781.0253	bg
EPAU0038	 noise	-	-1065.5783	 -660.7749	 -573.9217	bg
K1AH0019	 noise	-	-1688.4080	-1084.7720	 -904.0107	bg
ISAZ36	 noise	+	-1436.7077	 -922.5994	 -781.8313	bg
ISAZ34	 noise	-	-1568.8706	 -999.8460	 -834.8997	bg
ISAZ35	 noise	-	-1539.2681	 -984.1799	 -830.6207	bg
ISAZ33	 noise	-	-1399.7364	 -967.6225	 -826.5651	bg
ISAZ30	 noise	-	-1405.2527	 -961.6897	 -781.6239	bg
ISAZ31	 noise	-	-1285.9616	 -955.3424	 -806.1278	bg
ISAZ39	 noise	-	-1347.0796	 -918.3620	 -771.1438	bg
EPAU0016	 noise	-	-1421.3447	 -917.6744	 -761.9215	bg
KDAJ0019	 noise	-	-1330.5149	 -839.3065	 -724.3925	bg
RPAX0001	 noise	+	-1454.2138	 -942.0376	 -787.3651	bg
EPAU0017	 noise	-	-1530.0686	 -947.6957	 -818.4614	bg
KDAJ0013	 noise	-	-1549.5639	 -961.6393	 -820.6231	bg
KDAJ0011	 noise	-	-1545.1808	 -977.9187	 -786.1883	bg
KDAJ0015	 noise	-	-1306.4737	 -835.4939	 -721.5915	bg
ESAJ0049	 noise	+	-1284.3128	 -837.4738	 -650.7360	bg
ECAM0053	 noise	-	-1311.0425	 -840.4978	 -680.8412	bg
ECAM0052	 noise	+	-1258.1296	 -867.8724	 -687.6523	bg
ECAM0055	 noise	-	-1350.6400	 -867.1503	 -673.7307	bg
ECAM0054	 noise	-	-1269.3650	 -863.7803	 -687.6176	bg
ECAM0057	 noise	+	 -983.8435	 -694.0207	 -575.2227	bg
ECAM0056	 noise	-	-1282.6231	 -830.7863	 -664.8790	bg
ECAM0058	 noise	-	-1537.5905	 -919.0511	 -773.0291	bg
ECAR0023	 noise	-	-1461.6051	 -984.8860	 -814.0877	bg
ISBA29	 noise	-	-1384.2921	 -983.4132	 -794.0184	bg
ESAS0007	 noise	-	 -124.5035	  -94.8765	  -84.4995	bg
ESAH0053	 noise	+	 -764.5980	 -519.5339	 -413.6020	bg
K1AH0030	 noise	+	-1330.8469	 -898.3559	 -781.3590	bg
ESAS0002	 noise	+	-1424.5673	 -938.8734	 -787.2589	bg
ESAS0003	 noise	-	-1437.0044	 -909.7968	 -741.7396	bg
ISBA22	 noise	-	-1392.6430	-1009.0815	 -818.6109	bg
K1AH0031	 noise	-	-1676.0667	-1092.1241	 -874.4316	bg
ISBA27	 noise	+	-1504.2971	 -930.6659	 -769.6319	bg
ESAS0009	 noise	+	-1584.5001	-1000.9500	 -785.2339	bg
KDAJ0080	 noise	-	-1261.4109	 -852.0463	 -744.8423	bg
ECAT0002	 noise	-	-1730.5976	-1070.5239	 -895.4325	bg
KDAJ0083	 noise	+	-1365.7532	 -879.3855	 -726.7074	bg
KDAJ0086	 noise	+	 -878.6648	 -606.1475	 -506.8725	bg
ESAJ0013	 noise	+	-1397.6901	 -883.1539	 -669.9128	bg
KDAJ0088	 noise	-	-1401.6597	 -903.4839	 -773.5019	bg
KDAJ0089	 noise	-	-1265.2278	 -917.1000	 -760.6237	bg
EPAL0065	 noise	+	-1360.3427	 -809.6151	 -687.2535	bg
EPAO0054	 noise	-	-1373.6165	 -940.3001	 -774.2017	bg
KDAE0080	 noise	-	-1244.3373	 -737.0561	 -621.0056	bg
KDAE0094	 noise	-	-1218.0929	 -791.2607	 -677.0841	bg
KDAE0095	 noise	+	-1064.0827	 -769.4543	 -625.7599	bg
KDAE0096	 noise	-	-1433.6133	 -941.3291	 -786.1248	bg
ESAJ0015	 noise	-	-1003.8044	 -697.5691	 -566.0452	bg
KDAE0090	 noise	+	-1083.2917	 -767.3971	 -625.6818	bg
RPAX0003	 noise	-	-1507.1850	 -971.0295	 -815.2344	bg
KDAE0093	 noise	+	-1383.6666	 -975.6883	 -787.7172	bg
ESAJ0018	 noise	-	-1216.0102	 -924.9849	 -710.8686	bg
RPAX0002	 noise	-	-1511.0870	 -980.0801	 -816.5972	bg
ESAJ0012	 noise	+	 -228.5980	 -180.4810	 -145.5526	bg
ESAQ0082	 noise	+	-1538.8278	 -984.8611	 -849.0766	bg
ESAJ0010	 noise	+	-1300.6863	 -851.8415	 -658.2787	bg
ESAJ0011	 noise	-	 -482.8001	 -299.9801	 -236.0850	bg
ESAJ0016	 noise	+	 -367.1150	 -231.3759	 -180.9521	bg
ESAJ0017	 noise	-	-1291.4756	 -866.1872	 -701.9216	bg
ESAJ0014	 noise	+	 -338.2430	 -265.3182	 -204.5777	bg
EPAJ0070	 noise	-	 -503.7284	 -307.2588	 -258.3272	bg
ECAR0057	 noise	-	-1458.8620	 -922.8431	 -796.4766	bg
K1AB0021	 noise	+	-1596.9295	-1063.3171	 -848.1153	bg
K1AB0020	 noise	-	-1415.0465	 -992.4361	 -842.6293	bg
